SITE,TRANSECT,DISTBEG,UTME,UTMN,DISTEND,UTME,UTMN
HMUR,HE01,0,268949,1504638,100,268994,1504550
HMUR,HE02,0,269016,1504508,100,269056,1504415
HMUR,HE03,0,269077,1504373,100,269122,1504282
HMUR,HE04,0,269147,1504235,100,269188,1504144
HMUR,HE05,0,268948.7,1503596,100,268888.3,1503676
HMUR,HE06,0,268865.6,1503722,100,268822.1,1503811
HMUR,HE07,0,268799.7,1503855,100,268756,1503942
HMUR,HE08,0,268733.5,1503989,100,268689,1504078
HMUR,HE09,0,268727,1504643,100,268818,1504688
HMUI,HP01,0,268516.95,1504429.18,200,268700.12,1504509.61
HMUI,HP02,0,268535.11,1504394.52,200,268716.6,1504473.76
HMUI,HP03,0,268550.73,1504359.42,200,268735.27,1504437.02
HMUI,HP04,0,268583.5,1504294.72,200,268758.98,1504390.47
HMUI,HP05,0,268604.6,1504248.86,200,268781.96,1504337.31
HMUI,HP06,0,268622.06,1504211.15,200,268794.72,1504312.1
HMUI,HP07,0,268641.37,1504173.05,200,268821.23,1504260.87
HMUI,HP08,0,268656.68,1504141.56,200,268837.21,1504224.77
HMUI,HP09,0,268680.41,1504094.1,200,268856.66,1504186.54
